類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,電機工程學系,電機系乙組/英專班畢業專題師生媒合說明會,2025.04.24(四) 下午 12:00 ~ 2025.04.24(四) 下午 02:00,七館70102教室,2025.04.14(一) ~ 2025.04.21(一) 名額已滿,已報名人數：100 名額限制：100,2 學務課程(課程時數) Student Affair Course,"04優質教育,05性別平權,08合適的工作及經濟成長,09工業化、創新及基礎建設,16和平、正義及健全制度",無,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用",14534
線上報名,電機工程學系,電機系乙組/英專班畢業專題師生媒合說明會,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,七館70102教室,2025.04.14(一) ~ 2025.04.21(一) 線上報名,已報名人數：100 名額限制：100 候補人數：0,2 學務課程(課程時數) Student Affair Course,"04優質教育,05性別平權,08合適的工作及經濟成長,09工業化、創新及基礎建設,16和平、正義及健全制度,17多元夥伴關係",無,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用",14533
線上報名,學務處,「組員不動如山？破解小組『躺分』生存戰略！」 ─合作學習與人際技巧講座(多元時數/服務學習時數擇一；同步認列社政633),2025.04.30(三) 下午 06:00 ~ 2025.04.30(三) 下午 08:00,70105,2025.04.12(六) ~ 2025.04.29(二) 線上報名,已報名人數：109 名額限制：100 候補人數：10,2 大學適應(課程時數) University Adaption,無,無,"人際互動,問題解決",14531
線上報名,元智大學學生會,監察院國家人權委員會參訪｜2025 人權推廣計畫,2025.05.14(三) 下午 12:10 ~ 2025.05.14(三) 下午 06:00,監察院國家人權委員會,2025.04.11(五) ~ 2025.04.25(五) 線上報名,已報名人數：10 名額限制：35,3 通識課程(課程時數) General Course,"04優質教育,10減少不平等,16和平、正義及健全制度",無,無,14529
線上報名,管理學院,【閱人社】奔跑！翻滾？跳躍！？黃昏時草地上的浪漫閱人大野餐！,2025.04.23(三) 下午 06:00 ~ 2025.04.23(三) 下午 09:00,7館旁活動場域,2025.04.11(五) ~ 2025.04.23(三) 線上報名,已報名人數：23 名額限制：65,2 生活勵志(課程時數) Life Inspiration,99以上皆無相關,無,無,14525
線上報名,學務處,113學年度課外組燈光音響工作坊,2025.05.10(六) 上午 09:00 ~ 2025.05.10(六) 下午 05:00,活動中心五樓廣場,2025.04.10(四) ~ 2025.04.30(三) 線上報名,已報名人數：20 名額限制：30,無,04優質教育,無,"人際互動,團隊合作",14524
線上報名,人文社會學院,數位時代的閱讀與寫作：一個人文學者的教學實踐(可認列職涯發展633活動),2025.04.21(一) 下午 12:10 ~ 2025.04.21(一) 下午 02:00,5509會議室,2025.04.10(四) ~ 2025.04.18(五) 線上報名,已報名人數：12 名額限制：15 候補人數：0,無,04優質教育,無,持續學習,14522
線上報名,學務處,總是微笑的你， 真的快樂嗎？解讀微笑憂鬱,2025.05.06(二) 下午 06:30 ~ 2025.05.06(二) 下午 08:30,R70105,2025.04.10(四) ~ 2025.05.04(日) 名額已滿,已報名人數：80 名額限制：80,2 專業服務(活動時數) Professional Service,99以上皆無相關,2小時,"人際互動,問題解決",14521
線上報名,學務處,5/7(三)回家的那條路——《愛子歸來》紀錄片放映暨映後交流座談   (可認列服務活動時數或多元學習護照時數3小時二擇一 及社政633),2025.05.07(三) 下午 06:30 ~ 2025.05.07(三) 下午 09:00,有庠廳,2025.04.09(三) ~ 2025.05.04(日) 線上報名,已報名人數：180 名額限制：250,3 通識課程(課程時數) General Course,99以上皆無相關,3小時,人際互動,14518
線上報名,學務處,DIY手作餅乾工作坊(限快樂學習營成員參與),2025.04.24(四) 下午 06:10 ~ 2025.04.24(四) 下午 09:10,B1美食二街,2025.04.09(三) ~ 2025.04.22(二) 線上報名,已報名人數：9 名額限制：10,無,99以上皆無相關,2小時,"持續學習,人際互動",14517
線上報名,學務處,衛保義工美宣社課-canva實用技巧教學,2025.04.28(一) 下午 06:00 ~ 2025.04.28(一) 下午 08:00,R3104,2025.04.09(三) ~ 2025.04.25(五) 線上報名,已報名人數：13 名額限制：30,無,99以上皆無相關,無,無,14515
線上報名,學務處,領袖之路：志工與社團的點滴,2025.04.30(三) 下午 06:30 ~ 2025.04.30(三) 下午 08:30,70101,2025.04.09(三) ~ 2025.04.25(五) 線上報名,已報名人數：12 名額限制：80,2 通識課程(課程時數) General Course,04優質教育,無,無,14514
線上報名,管理學院,2025 AIESEC 海外成長說明會4/30場,2025.04.30(三) 下午 06:00 ~ 2025.04.30(三) 下午 08:30,R3101,2025.04.09(三) ~ 2025.04.30(三) 線上報名,已報名人數：8 名額限制：100 候補人數：0,2 學務課程(課程時數) Student Affair Course,無,無,無,14513
線上報名,人文社會學院,2025全民外交研習營青年論壇-元智大學場(可擇一認列職涯發展633活動、管院職涯點數或多元學習護照),2025.05.02(五) 下午 01:00 ~ 2025.05.02(五) 下午 04:00,60312教室,2025.04.08(二) ~ 2025.04.25(五) 線上報名,已報名人數：38 名額限制：100,無,04優質教育,3小時,"溝通表達,持續學習",14511
